Query	Subject	Query_length.x	BitScore_corrected.x	Evalue.x	Coverage.x	Similarity.x	Query_length.y	BitScore_corrected.y	Evalue.y	Coverage.y	Similarity.y
T_urartu_Tr246_URA09_Contig1002_simExt	HORVU1Hr1G070610	1499	1.95137380552839	0	0.81054036024016	93.498	1499	1.97532373809645	0	0.81054036024016	93.498
T_urartu_Tr246_URA09_Contig1033_simExt	HORVU2Hr1G105730	1652	1.52347845908366	8.56849783451106e-54	0.979418886198547	94.3843219803991	1652	1.52347845908366	6.47823113745156e-55	0.979418886198547	94.3843219803991
T_urartu_Tr246_URA09_Contig1038_simExt	HORVU1Hr1G032510	1304	1.67057075430469	6.70457127873447e-26	0.988496932515337	96.732127870862	1304	1.67057075430469	5.20365352678962e-27	0.988496932515337	96.732127870862
T_urartu_Tr246_URA09_Contig1045_simExt	HORVU4Hr1G060760	543	1.29304726644807	0	1	90.253	543	1.32527757125648	0	0.990791896869245	90.253
T_urartu_Tr246_URA09_Contig1055_simExt	HORVU1Hr1G045310	1703	1.51572468663214	1.4469714028372e-59	1	93.8002702301075	1703	1.51572468663214	7.63206485025895e-61	1	93.8002702301075
T_urartu_Tr246_URA09_Contig1062_simExt	HORVU4Hr1G026050	2272	1.45851322709789	3.60215087526493e-34	0.882482394366197	93.2782532128674	2272	1.45851322709789	1.62669754297826e-35	0.882482394366197	93.2782532128674
T_urartu_Tr246_URA09_Contig1076_simExt	HORVU1Hr1G051350	1067	1.50369244135534	2.87793223284101e-43	1	93.61651184005	1067	1.49473905723906	1.56863636363636e-44	1	93.505144611059
T_urartu_Tr246_URA09_Contig1078_simExt	HORVU1Hr1G075110	1346	1.35273556231003	1.14030395136778e-28	0.809806835066865	90.2660801003813	1346	1.35273556231003	1.02551671732523e-29	0.809806835066865	90.2660801003813
T_urartu_Tr246_URA09_Contig1082_simExt	HORVU3Hr1G092660	2363	1.56452929278592	8.10337433377098e-37	0.997460854845535	95.0142169711211	2363	1.56452929278592	7.18253630460239e-38	0.997460854845535	95.0142169711211
T_urartu_Tr246_URA09_Contig1092_simExt	HORVU3Hr1G049120	1832	1.52062434796565	0	0.961244541484716	94.3291241413053	1832	1.52062434796565	0	0.961244541484716	94.3291241413053
T_urartu_Tr246_URA09_Contig1138_simExt	HORVU1Hr1G077430	2415	1.59142282778646	2.80165289256198e-174	0.986335403726708	95.4493174638264	2415	1.59142282778646	1.77185615367434e-175	0.986335403726708	95.4493174638264
T_urartu_Tr246_URA09_Contig1139_simExt	HORVU3Hr1G069000	1218	1.46237901966906	0	0.902298850574713	92.8954679253867	1218	1.46237901966906	0	0.902298850574713	92.8954679253867
